externalId,Product Review (2),Product Review (7),News Coverage (2),News Coverage (7),Unboxing (2),Unboxing (7),Demonstration (2),Demonstration (7),Advertisement (2),Advertisement (7),Unstructured Use (2),Unstructured Use (7),Unsure (2),Unsure (7),Not Relevent (2),Not Relevent (7)
H8bpOc85Nw4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
HAxq9wVR2UY,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HfBk32lDm7Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
hOdvL7QC4AM,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
HPWR_mpzY9I,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hSR_7mTgpVQ,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
HXhRGpBHBnM,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
i7Ev0AepAmY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
i9Qv-6DG3Zw,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
iAWslxNC7e4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Ic7OsHQZ61g,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ifLex3yyjaQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
IGWnWkS_-yk,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
iMJsnF7LMOw,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
inLIFzn37xc,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ioyEkXiyXYQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
IVcLsQ0n-xw,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
jc1KAalc_hE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
JMVwY4MJGds,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
JoD2s1vGNP0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
KBxNF8Qxz-Q,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
KcObqAoxKRI,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
kEBCXWhrjcc,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
KeuSqVtGi-E,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
KpxWwvhfnRs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
kr3a2I5PR8c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
k-tFHVkUjMU,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
kUyuKqIfMN0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
L95Lilzf6yQ,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
LdiZSSeLRFU,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
lGDkbrhyIzY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LHXGxuN9PVw,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
LmN8bybyQY8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
LNtD_D7OWJs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
lPPNpMVKgdU,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
lrphH0-eAGI,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
ltNiSFII2Lk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
LuZ0FKGRsXA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
m2gILsP1mT4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
M6AXPf-2dUs,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miy2mbs2zAQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
mKS8VdPFHyk,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Ms69-3KEnSQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Mv7zj_OIXR4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
MZbR5VrsczM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
N1PJhncSoNY,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
N3KcYzva8Dg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
NdkJvtcHhwA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NepWHr7g5gU,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
NIc_3B-zTN0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
